level,forecast_block,strong_local_ap,strong_full_ap,gain,n,positive
L1,2023-01 to 2023-03,0.3026660069194996,0.358128029079232,0.05546202215973245,154370,12192
L1,2023-04 to 2023-06,0.3200564793274454,0.3744695870214133,0.0544131076939679,151467,12544
L1,2023-07 to 2023-09,0.34176137955247654,0.39580371008251675,0.054042330530040206,151744,13001
L1,2023-10 to 2023-12,0.3153617943820982,0.35954883568682094,0.04418704130472273,151321,11636
