contrast,estimate,ci_low,ci_high
region_single_gain,0.020357569044132884,0.019076046492840164,0.021584690066927457
occupation_single_gain,0.037327523855853306,0.035307628531792784,0.03936608947068037
market_single_gain,0.019094287303208723,0.017879287456112412,0.020354069898408607
drop_region,0.012614281406280403,0.01140051125832985,0.013824550629099111
drop_occupation,0.030601940640037295,0.028525941653306,0.032435219226015506
drop_market,0.006259032752073623,0.005420283851935328,0.007108301848424233
full_gain_vs_local,0.05093181300225469,0.048706593544607886,0.05318602365149706
