context,ap,n,positive,gain_vs_local,drop_from_full
local,0.31984406246252967,608902,49373,0.0,0.050931828093172815
region,0.34020170421971874,608902,49373,0.02035764175718907,0.030574186335983744
occupation,0.3571716601001981,608902,49373,0.03732759763766841,0.013604230455504407
market,0.33893838283570044,608902,49373,0.01909432037317077,0.031837507720002045
region_occupation,0.3645168492263446,608902,49373,0.04467278676381492,0.006259041329357895
occupation_market,0.3581616223393571,608902,49373,0.038317559876827445,0.01261426821634537
region_market,0.34017395725744526,608902,49373,0.020329894794915593,0.030601933298257222
full,0.3707758905557025,608902,49373,0.050931828093172815,0.0
