level,active_months,n,positive,clusters,observed,ci_low,ci_high,boot_mean,replicates
L1,0,503526,20784,2302,0.076034319411837,0.07260140282013433,0.07938130254541398,0.07603488016147866,1000
L1,1,69515,15726,2282,0.04223235569900852,0.03748326413516439,0.04685011924271991,0.04219619409071827,1000
L1,2,35861,12863,2224,0.029468334069285007,0.024486055117249696,0.034676212518847074,0.02949961578066387,1000
L1,3-5,51542,28840,2193,0.019103512399123335,0.01633160055258013,0.022034976841330663,0.019100883725262113,1000
L1,6-11,30761,26047,2017,0.002604778360659088,0.001682151874339044,0.0035010919303066156,0.002624690394794341,1000
L1,rare_dormant,608902,49373,2324,0.050931828093172815,0.04877799516490308,0.05313851764393591,0.0509349147222781,1000
