subset,strong_local_ids_ap,strong_local_ids_cross_scale_ap,gain
rare-dormant,0.3403167739421138,0.3816878966807376,0.04137112273862381
A=0,0.16158065593193172,0.2112830821708795,0.04970242623894777
A=1,0.35645058559952336,0.4066487416603436,0.05019815606082023
A=2,0.4917520333869069,0.5318950313458837,0.0401429979589768
A=3-5,0.6990239105036862,0.7205520985830087,0.021528188079322552
A=6-11,0.9331512760622664,0.93696419108549,0.003812915023223562
