level,active_months,n,positive,prevalence,strong_local_ap,strong_full_ap,gain
L1,0,503526,20784,0.04127691519405155,0.12332656190708155,0.19936088131891855,0.076034319411837
L1,1,69515,15726,0.22622455585125512,0.3515454816882265,0.39377783738723504,0.04223235569900852
L1,2,35861,12863,0.35869049942834835,0.49113624099784897,0.520604575067134,0.029468334069285007
L1,3-5,51542,28840,0.5595436731209499,0.6988761571287871,0.7179796695279105,0.019103512399123335
L1,6-11,30761,26047,0.8467540066967914,0.9336312145183605,0.9362359928790196,0.002604778360659088
