level,active_months,n,positive,prevalence,strong_local_ap,strong_full_ap,gain,strong_local_normalized_ap,strong_full_normalized_ap,normalized_gain
L2,0,2493131,59564,0.023891243580862778,0.09962351445462983,0.1735403432052884,0.07391682875065858,0.0775858943747124,0.15331191185438656,0.07572601747967415
L2,1,202879,41173,0.2029436264965817,0.32726086437332036,0.3676963265907634,0.04043546221744304,0.1559704457669775,0.20670143991198525,0.05073099414500776
L2,2,95811,32308,0.33720554007368675,0.46690327616423105,0.5011806730598534,0.034277396895622314,0.19568319280303514,0.24739967350420625,0.0517164807011711
L2,3-5,125780,67233,0.534528541898553,0.6802955797145612,0.6974416501182495,0.017146070403688318,0.3131599914000292,0.34999591357154813,0.03683592217151893
L2,6-11,66497,54918,0.8258718438425794,0.9218992588891557,0.9224111441155014,0.0005118852263457097,0.551475517605336,0.5544152215431812,0.0029397039378452616
