level,skills,n,positive,strong_local_ap,full_mosaic_ap,gain
L1,2324,605689,49174,0.3190772421361289,0.37159339507911954,0.05251615294299061
L2,2324,2777779,132554,0.282822308435634,0.33761703129949466,0.05479472286386067
