level,active_months,n,positive,prevalence,strong_local_ap,strong_full_ap,gain
L2,0,2493131,59564,0.023891243580862778,0.09962351445462983,0.1735403432052884,0.07391682875065858
L2,1,202879,41173,0.2029436264965817,0.32726086437332036,0.3676963265907634,0.04043546221744304
L2,2,95811,32308,0.33720554007368675,0.46690327616423105,0.5011806730598534,0.034277396895622314
L2,3-5,125780,67233,0.534528541898553,0.6802955797145612,0.6974416501182495,0.017146070403688318
L2,6-11,66497,54918,0.8258718438425794,0.9218992588891557,0.9224111441155014,0.0005118852263457097
