level,forecast_block,strong_local_ap,strong_full_ap,gain,n,positive
L2,2023-01 to 2023-03,0.2636220093413735,0.3204392234176463,0.056817214076272826,702395,31832
L2,2023-04 to 2023-06,0.28222663345371723,0.3435162502669863,0.061289616813269054,695749,33790
L2,2023-07 to 2023-09,0.29608143033799794,0.353445098881978,0.05736366854398006,697031,35019
L2,2023-10 to 2023-12,0.287880968936127,0.3350443204151235,0.047163351478996474,696646,32404
