level,active_months,n,positive,prevalence,strong_local_ap,strong_full_ap,gain,strong_local_normalized_ap,strong_full_normalized_ap,normalized_gain
L1,0,503526,20784,0.04127691519405155,0.12332656190708155,0.19936088131891855,0.076034319411837,0.08558221661016681,0.16489012169438289,0.07930790508421608
L1,1,69515,15726,0.22622455585125512,0.3515454816882265,0.39377783738723504,0.04223235569900852,0.16196032942715177,0.21653993132375848,0.05457960189660671
L1,2,35861,12863,0.35869049942834835,0.49113624099784897,0.520604575067134,0.029468334069285007,0.20652390374918958,0.2524741571650792,0.045950253415889625
L1,3-5,51542,28840,0.5595436731209499,0.6988761571287871,0.7179796695279105,0.019103512399123335,0.3163366615598603,0.35970875371366234,0.043372092153802055
L1,6-11,30761,26047,0.8467540066967914,0.9336312145183605,0.9362359928790196,0.002604778360659088,0.5669134047092254,0.5839107715213242,0.016997366812098846
